index,latitude,longitude,easting_m,northing_m,dist_m
0,33.74147934,73.13844141,327558.43,3735048.57,0.0
1,33.74161409,73.13844141,327558.43,3735063.57,15.0
2,33.74174884,73.13844141,327558.43,3735078.57,15.0
3,33.74188358,73.13844141,327558.43,3735093.57,15.0
4,33.74201833,73.13844141,327558.43,3735108.57,15.0
5,33.74215308,73.13844141,327558.43,3735123.57,15.0
6,33.74228782,73.13844141,327558.43,3735138.57,15.0
7,33.74242257,73.13844141,327558.43,3735153.57,15.0
8,33.74255732,73.13860345,327573.43,3735168.57,21.21
9,33.74269206,73.13860345,327573.43,3735183.57,15.0
10,33.74282681,73.13860345,327573.43,3735198.57,15.0
11,33.74296156,73.13860345,327573.43,3735213.57,15.0
12,33.7430963,73.13860345,327573.43,3735228.57,15.0
13,33.74323105,73.13860345,327573.43,3735243.57,15.0
14,33.7433658,73.13860345,327573.43,3735258.57,15.0
15,33.74350054,73.13860345,327573.43,3735273.57,15.0
16,33.74363529,73.13860345,327573.43,3735288.57,15.0
17,33.74377004,73.13860345,327573.43,3735303.57,15.0
18,33.74390478,73.13860345,327573.43,3735318.57,15.0
19,33.74403953,73.13860345,327573.43,3735333.57,15.0
20,33.74417428,73.13860345,327573.43,3735348.57,15.0
21,33.74430902,73.13860345,327573.43,3735363.57,15.0
22,33.74444377,73.13860345,327573.43,3735378.57,15.0
23,33.74457852,73.13860345,327573.43,3735393.57,15.0
24,33.74471326,73.13860345,327573.43,3735408.57,15.0
25,33.74484801,73.13860345,327573.43,3735423.57,15.0
26,33.74498276,73.13860345,327573.43,3735438.57,15.0
27,33.7451175,73.13860345,327573.43,3735453.57,15.0
28,33.74525225,73.13860345,327573.43,3735468.57,15.0
29,33.745387,73.13860345,327573.43,3735483.57,15.0
30,33.74552174,73.13860345,327573.43,3735498.57,15.0
31,33.74565649,73.13860345,327573.43,3735513.57,15.0
32,33.74579124,73.13860345,327573.43,3735528.57,15.0
33,33.74592598,73.13860345,327573.43,3735543.57,15.0
34,33.74606073,73.13860345,327573.43,3735558.57,15.0
35,33.74619548,73.1387655,327588.43,3735573.57,21.21
36,33.74633022,73.13892754,327603.43,3735588.57,21.21
37,33.74646497,73.13908958,327618.43,3735603.57,21.21
38,33.74659972,73.13925162,327633.43,3735618.57,21.21
39,33.74673446,73.13941367,327648.43,3735633.57,21.21
40,33.74686921,73.13957571,327663.43,3735648.57,21.21
41,33.74700396,73.13973775,327678.43,3735663.57,21.21
42,33.7471387,73.13989979,327693.43,3735678.57,21.21
43,33.74727345,73.14006184,327708.43,3735693.57,21.21
44,33.7474082,73.14022388,327723.43,3735708.57,21.21
45,33.74754294,73.14038592,327738.43,3735723.57,21.21
46,33.74767769,73.14054796,327753.43,3735738.57,21.21
47,33.74781244,73.14071001,327768.43,3735753.57,21.21
48,33.74794718,73.14087205,327783.43,3735768.57,21.21
49,33.74808193,73.14103409,327798.43,3735783.57,21.21
50,33.74821668,73.14119613,327813.43,3735798.57,21.21
51,33.74835143,73.14135818,327828.43,3735813.57,21.21
52,33.74848617,73.14152022,327843.43,3735828.57,21.21
53,33.74862092,73.14168226,327858.43,3735843.57,21.21
54,33.74875567,73.1418443,327873.43,3735858.57,21.21
55,33.74889041,73.14200634,327888.43,3735873.57,21.21
56,33.74902516,73.14216839,327903.43,3735888.57,21.21
57,33.74915991,73.14216839,327903.43,3735903.57,15.0
58,33.74929465,73.14233043,327918.43,3735918.57,21.21
59,33.7494294,73.14233043,327918.43,3735933.57,15.0
60,33.74956415,73.14233043,327918.43,3735948.57,15.0
61,33.74969889,73.14249247,327933.43,3735963.57,21.21
62,33.74983364,73.14249247,327933.43,3735978.57,15.0
63,33.74996839,73.14265451,327948.43,3735993.57,21.21
64,33.75010313,73.14265451,327948.43,3736008.57,15.0
65,33.75023788,73.14281656,327963.43,3736023.57,21.21
66,33.75037263,73.14281656,327963.43,3736038.57,15.0
67,33.75050737,73.1429786,327978.43,3736053.57,21.21
68,33.75064212,73.1429786,327978.43,3736068.57,15.0
69,33.75077687,73.1429786,327978.43,3736083.57,15.0
